Classifier,feature selection,sampling,cost sensitive,feature selection id,precision,recall,auc,kappa
mlp,false,false,false,,0.0,0.0,0.0,0.0
mlp,false,false,true,,0.0,0.0,0.0,0.0
mlp,false,false,false,,0.3752420916720465,0.5235307363206485,0.6932751072819695,0.3288448631310563
mlp,false,false,true,,0.1834206427863514,0.5834271560459356,0.5828899421201473,0.08656572325855752
mlp,false,false,true,,0.13991258339084425,0.6847556856563837,0.5039513972653547,0.0030002988923864982
mlp,false,false,true,,0.11784581795498258,0.510470614726413,0.44801926043898765,-0.04335373724143483
rf,false,false,false,,0.0,0.0,0.0,0.0
rf,false,false,true,,0.0,0.0,0.0,0.0
rf,false,false,false,,0.22874058127018299,0.1913983337086242,0.48368273592272254,0.09407327819919456
rf,false,false,true,,0.14968768590124926,0.45327628912407114,0.5196248566080909,0.021204423211748015
rf,false,false,true,,0.1163950320882774,0.5676649403287548,0.43736807970853175,-0.047686465747316234
rf,false,false,true,,0.125153949914961,0.4805224048637694,0.4702115988980855,-0.027186138355272584
sgd,false,false,false,,0.0,0.0,0.0,0.0
sgd,false,false,true,,0.0,0.0,0.0,0.0
sgd,false,false,false,,NaN,0.0,0.5,0.0
sgd,false,false,true,,NaN,0.0,0.5,0.0
sgd,false,false,true,,0.07468829439535166,0.27786534564287324,0.3621666783973083,-0.12872845495284055
sgd,false,false,true,,0.07019779153015411,0.26052690835397435,0.35282763101177483,-0.13769360056758084
mlp,false,true,false,,0.14490684559925762,0.45710425579824365,0.5690569637864943,0.012279852527407636
sgd,false,true,false,,0.07468829439535166,0.27786534564287324,0.3621666783973083,-0.12872845495284055
rf,false,true,false,,0.30212321615036547,0.3909029497860842,0.5157188219907323,0.21874188014912874
mlp,false,false,false,,0.19605148069473946,0.3532988065750957,0.511740764793863,0.09004012096257293
mlp,true,false,false,FS_R4_1,0.19367339581831292,0.483900022517451,0.5885845034916725,0.09820566617686644
sgd,false,false,false,,0.07019779153015411,0.26052690835397435,0.35282763101177483,-0.13769360056758084
sgd,true,false,false,FS_R4_1,0.11491902942917093,0.4809727538842603,0.4426660358725766,-0.049075376054750444
rf,false,false,false,,0.33603125872174155,0.27111011033551,0.5025284947584985,0.20129190150912718
rf,true,false,false,FS_R4_1,0.0185808536421166,0.03107408241387075,0.38360980348132884,-0.18160303882088608
mlp,true,false,false,FS_R4_1,NaN,0.0,0.6218722488856414,0.0
mlp,true,false,true,FS_R4_1,0.1298312133072407,0.4780454852510696,0.48142833298000093,-0.01747595725383144
mlp,true,false,true,FS_R4_1,0.14046240052738146,0.6716955640621481,0.5053868674432903,0.004164648326193317
mlp,true,false,true,FS_R4_1,0.1628630705394191,0.6716955640621481,0.5582671310299516,0.05042672382701811
sgd,true,false,false,FS_R4_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R4_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R4_1,0.11491902942917093,0.4809727538842603,0.4426660358725766,-0.049075376054750444
sgd,true,false,true,FS_R4_1,0.11491902942917093,0.4809727538842603,0.4426660358725766,-0.049075376054750444
rf,true,false,false,FS_R4_1,0.01686226898691488,0.028146813780680027,0.385063752171429,-0.18404781326760944
rf,true,false,true,FS_R4_1,0.0185808536421166,0.03107408241387075,0.38358077921338024,-0.18160303882088608
rf,true,false,true,FS_R4_1,0.018540910923014912,0.03107408241387075,0.3832911235415601,-0.18184046880229668
rf,true,false,true,FS_R4_1,0.0185808536421166,0.03107408241387075,0.38358077921338024,-0.18160303882088608
mlp,true,true,false,FS_R4_1,0.23840539023020774,0.4780454852510696,0.5769155737609823,0.16352080711385505
sgd,true,true,false,FS_R4_1,0.11491902942917093,0.4809727538842603,0.4426660358725766,-0.049075376054750444
rf,true,true,false,FS_R4_1,0.0185808536421166,0.03107408241387075,0.38455192632721147,-0.18160303882088608
