release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.2.0,submitCallback,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,PendingReadOp,3,1,0,0,0,0,3,0,412,3,18,0,false
4.2.0,registerBookie,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,Bookie,32,6,3,2,1,1,1,0,412,3,50,1,false
4.0.0,asyncUnsubscribe,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,HedwigSubscriber,3,1,0,0,0,0,0,1,4,1,3,0,false
4.1.0,isInitialized,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PublishRequest,5,3,0,0,0,3,2,2,196,1,2,1,true
4.2.0,hasMessageFilter,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionPreferences,3,2,0,0,0,1,3,0,4,2,14,0,false
4.2.0,maybeForceBuilderInitialization,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$MessageSeqId$Builder,5,2,0,0,0,0,2,0,412,2,16,0,false
4.0.0,rollLog,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,Bookie$LastLogMark,18,3,4,1,1,0,1,0,4,3,13,4,false
4.1.0,uncaughtException,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,HedwigProxy,3,1,0,0,0,0,0,0,196,1,5,0,false
4.2.0,releaseTopicIfRequested,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,BookkeeperPersistenceManager,26,5,2,2,0,1,3,0,412,3,16,2,false
4.2.0,getVersion,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,DataFormats$LedgerRereplicationLayoutFormat$Builder,3,1,0,0,0,1,0,0,205,2,6,0,false
4.2.0,getMinLatency,hedwig-server/src/main/java/org/apache/hedwig/server/netty/ServerStats.java,ServerStats$OpStatData,3,1,0,0,0,1,0,0,366,1,2,0,false
4.1.0,addEntry,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,ReadOnlyLedgerHandle,4,1,0,1,0,0,1,0,229,1,1,0,true
4.1.0,getDefaultInstanceForType,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PublishRequest$Builder,3,1,0,0,0,1,0,1,196,1,2,1,true
4.2.0,runCmd,hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,HedwigConsole$MyCommand,1,1,0,0,0,0,3,0,216,2,8,0,false
4.1.0,waitZero,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,Bookie$CounterCallback,5,2,0,0,0,0,1,0,196,3,33,0,true
4.2.0,getOptionsFieldBuilder,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionOptions$Builder,7,2,2,0,0,1,0,0,216,2,15,0,false
4.2.0,asyncMessageDeliver,hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/ActiveSubscriber.java,ActiveSubscriber,10,3,0,0,0,1,3,2,42,1,1,0,false
4.2.0,hasTxnId,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubResponse$Builder,3,2,0,0,0,1,1,0,412,2,16,0,false
4.2.0,getResponseBody,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PubSubResponse$Builder,8,2,0,0,0,2,2,0,412,2,16,0,false
4.2.0,parseDelimitedFrom,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscriptionOptions,9,2,1,0,0,2,0,2,216,2,15,0,false
4.2.0,verifyLedgerFragment,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerChecker.java,LedgerChecker,20,4,4,0,0,1,1,2,154,1,3,0,false
4.2.0,start,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,InterleavedLedgerStorage,3,1,0,0,0,0,0,0,328,2,11,0,false
4.1.0,setMsg,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$PublishRequest$Builder,8,2,2,0,0,1,1,0,196,1,2,0,true
4.1.0,getDescriptor,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$LedgerRange,3,1,0,0,0,1,1,0,196,1,2,0,true
4.1.0,parseFrom,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$RegionSpecificSeqId,3,1,0,0,0,1,0,2,196,1,2,0,true
4.2.0,buildParsed,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$SubscribeRequest$Builder,7,2,1,0,0,1,2,2,412,2,16,2,false
4.2.0,hasNumTopics,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,PubSubProtocol$HubLoadDataOrBuilder,1,1,0,0,0,0,0,0,4,2,14,0,false
