release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.6,isNew,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ProxySetupStateManager.java,ProxySetupStateManager,3,1,0,0,0,0,0,1,185,1,4,0,false
0.9.6,setIgnoreChanges,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java,QueryImpl,4,1,0,0,0,1,0,3,185,2,8,0,false
0.9.0,iterator,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Extent.java,Extent,1,1,0,0,0,0,4,0,45,1,3,0,false
0.9.6,validateMapping,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java,ClassMetaData,2,1,0,0,0,0,1,3,185,4,21,0,false
0.9.0,setPropertyKey,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/FormatPreservingProperties.java,FormatPreservingProperties$PropertyLine,3,1,1,0,0,0,1,0,0,1,8,0,false
0.9.6,fetchCharField,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,EmbedFieldStrategy$NullEmbeddedStateManager,3,1,0,0,0,1,0,0,168,3,7,0,false
0.9.6,setByte,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/DynamicStorage.java,DynamicStorage,1,1,0,0,0,0,0,0,185,1,4,0,false
0.9.6,detachCollection,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java,DetachManager$InstanceDetachFieldManager,10,7,2,0,0,1,1,2,185,1,11,1,false
0.9.6,orderBy,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Extension.java,Extension,3,1,0,0,0,0,0,1,168,1,6,0,false
0.9.6,pushBack,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractResult.java,AbstractResult,3,1,1,0,0,0,2,0,168,1,4,0,false
0.9.6,equals,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ConfigurationImpl.java,ConfigurationImpl,9,6,3,0,0,4,0,2,94,4,25,1,false
0.9.0,retrieve,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,BrokerImpl,28,11,2,0,1,2,1,16,45,3,11,7,false
0.9.6,buildSchema,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java,MappingTool,19,7,8,0,0,2,1,7,168,2,9,0,false
0.9.6,isNew,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java,DelegatingBroker,8,2,0,0,1,1,1,2,185,2,8,1,false
0.9.6,rollback,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/EDeletedState.java,EDeletedState,3,1,0,0,0,1,0,0,185,1,4,0,false
0.9.0,close,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java,SelectResultObjectProvider,6,2,1,0,0,0,1,1,37,2,2,0,false
0.9.6,fetchField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/OpenJPAStateManager.java,OpenJPAStateManager,1,1,0,0,0,0,6,0,185,2,9,0,false
0.9.0,isMappingMode,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java,XMLPersistenceMetaDataParser,3,2,0,0,0,1,4,0,45,2,6,0,false
0.9.0,syncVersion,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StoreManager.java,StoreManager,1,1,0,0,0,0,1,0,45,3,8,0,false
0.9.6,getBackingMember,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java,FieldMetaData,3,1,0,0,0,1,10,1,185,2,15,0,false
0.9.0,addIndex,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java,Table,13,4,5,0,0,1,2,2,37,1,2,3,false
0.9.6,isDirty,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PNonTransDeletedState.java,PNonTransDeletedState,3,1,0,0,0,1,0,0,185,1,4,0,false
0.9.6,containsInternal,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractResult.java,AbstractResult,1,1,0,0,0,0,3,0,168,1,4,0,false
0.9.0,groupBy,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IndexOf.java,IndexOf,3,1,0,0,0,0,0,1,37,2,4,0,false
0.9.6,setMetaData,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Concat.java,Concat,3,1,1,0,0,0,0,0,168,1,5,0,false
0.9.0,append,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/LogicalUnion.java,LogicalUnion$UnionSelect,3,1,0,0,0,0,0,1,37,2,4,0,false
0.9.0,updateByte,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingResultSet.java,DelegatingResultSet,3,1,0,0,0,0,0,0,0,1,4,0,false
0.9.6,setNumber,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,EmbedFieldStrategy$EmbeddedRow,3,1,0,0,0,0,0,0,168,3,7,0,false
0.9.0,getDouble,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement.java,DelegatingCallableStatement,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.0,getComments,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java,QueryResultMapping,3,2,0,0,0,1,0,0,37,1,2,0,false
