@relation bookkeeper_Train_R2-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
3,1,0,0,0,1,0,0,4,1,2,0,false
21,6,5,1,0,0,1,1,4,3,7,2,false
15,3,3,0,0,0,0,5,4,2,3,0,false
3,1,0,0,0,0,0,1,4,1,3,0,false
18,3,4,1,1,0,1,0,4,3,13,4,false
70,4,4,3,1,3,1,4,40,2,5,4,false
54,14,15,10,0,1,2,0,4,2,3,5,false
3,1,0,0,0,0,2,3,4,2,8,0,false
4,1,0,0,0,1,0,0,18,2,3,0,false
10,2,1,1,0,0,0,6,4,2,8,1,false
21,4,5,0,1,1,1,11,4,2,5,0,false
7,1,2,0,0,1,0,0,4,1,1,1,false
3,1,0,0,0,1,2,0,4,1,2,0,false
3,1,0,0,0,1,2,0,4,2,3,0,false
4,1,2,0,0,0,1,0,4,3,13,0,false
3,2,0,1,0,0,0,0,4,1,3,0,false
3,1,0,0,0,0,0,1,4,2,3,0,false
4,1,1,0,0,0,0,1,4,2,7,0,false
1,1,0,0,0,0,2,0,4,2,4,0,false
43,15,9,5,0,2,3,4,4,1,4,3,false
3,1,0,0,0,0,2,2,4,2,11,0,false
4,1,0,0,0,1,0,0,18,2,3,0,false
11,3,3,1,0,1,2,1,4,2,4,0,false
3,1,1,0,0,0,1,0,4,2,3,0,false
3,1,0,0,0,1,1,0,4,3,7,0,false
1,1,0,0,0,0,0,0,4,1,1,0,false
3,1,0,1,0,1,0,0,4,3,8,0,false
4,1,0,0,0,1,0,0,18,2,3,0,false
8,2,0,1,0,1,0,3,4,2,5,0,false
14,3,0,3,1,0,1,0,4,3,10,1,false
13,3,0,2,1,0,1,4,4,1,3,0,false
13,3,4,0,0,0,1,1,4,2,5,0,false
12,4,2,2,0,0,1,4,4,2,4,0,false
3,1,0,0,0,0,0,8,4,1,3,0,false
3,1,0,0,0,0,0,1,4,2,3,0,false
5,1,0,1,0,1,1,1,4,2,4,0,false
5,2,0,0,0,0,5,0,4,2,2,0,false
3,1,0,0,0,1,4,0,4,1,2,0,false
67,9,2,5,2,6,0,10,4,2,8,5,false
3,1,0,0,0,0,0,1,4,1,2,0,false
6,2,0,0,0,2,0,0,4,3,13,0,false
26,3,4,2,0,0,2,3,4,1,3,2,false
3,1,0,0,0,1,10,0,4,2,2,0,false
4,1,0,0,0,0,1,1,4,2,5,0,false
10,3,0,0,0,0,3,3,4,2,3,0,false
4,1,0,0,0,1,2,1,4,2,2,1,false
8,2,0,2,0,2,4,0,4,2,3,0,false
16,2,2,1,2,0,2,0,4,2,8,2,false
25,5,4,3,2,0,0,4,4,1,3,0,false
6,2,1,2,0,0,1,0,4,2,2,0,false
8,2,0,0,0,0,0,7,4,2,8,0,false
4,1,0,0,0,1,2,0,18,2,3,0,false
21,5,2,1,0,2,0,4,4,2,3,2,false
10,2,1,1,0,0,1,7,4,2,11,0,false
1,1,0,0,0,0,0,0,4,1,1,0,false
1,1,0,0,0,0,2,0,4,1,1,0,false
3,1,1,0,0,0,0,0,4,2,2,0,false
36,6,6,2,3,1,2,1,4,3,13,1,false
8,2,2,0,0,1,3,1,4,2,3,0,false
6,1,1,0,0,0,1,1,4,2,2,0,false
11,3,2,0,0,1,1,1,4,2,11,0,false
3,1,0,0,0,1,1,0,4,2,4,0,false
34,6,0,2,2,0,2,1,4,2,11,3,false
7,3,2,1,0,0,1,0,4,3,7,0,false
1,1,0,0,0,0,1,0,4,2,4,0,false
3,1,0,1,0,1,1,0,18,2,3,0,false
6,3,0,0,0,2,1,0,8,1,1,1,false
17,9,2,2,0,1,2,1,4,2,3,0,false
13,3,0,0,0,0,1,1,4,2,8,0,false
22,6,0,4,0,0,0,4,4,1,3,4,false
3,1,0,0,0,0,1,1,4,2,3,0,false
1,1,0,0,0,0,1,0,4,2,2,0,false
9,2,2,0,0,0,0,0,4,2,8,0,false
4,5,0,0,0,2,6,1,4,1,3,0,false
6,2,0,0,0,0,2,1,4,2,3,0,false
9,2,3,1,0,0,0,0,4,1,2,0,false
12,3,0,0,1,0,1,0,4,3,7,1,false
3,1,0,0,0,1,1,0,4,1,1,0,false
9,2,2,0,0,1,2,3,4,3,13,1,false
7,3,1,1,0,2,1,0,4,2,3,2,false
14,5,1,1,0,1,0,3,4,2,2,0,false
3,1,0,0,0,0,0,24,4,1,3,0,false
14,3,4,1,0,2,0,1,4,1,2,0,false
8,1,1,0,0,0,0,2,4,2,11,0,false
3,1,0,0,0,0,1,0,4,3,10,0,false
8,5,0,0,0,0,0,3,4,1,4,2,false
19,3,3,3,0,0,0,3,4,1,3,2,false
16,4,2,1,1,0,4,4,4,1,3,0,false
3,1,1,0,0,0,1,0,4,2,2,0,false
3,1,0,0,0,1,0,0,4,1,1,0,false
8,2,0,0,1,0,0,1,4,1,2,0,false
3,1,0,0,0,1,6,0,4,1,2,0,false
40,9,12,7,1,1,1,10,4,2,4,8,false
3,1,0,0,0,1,4,0,4,1,2,0,false
33,7,6,1,1,2,1,1,4,3,10,4,false
3,1,0,0,0,1,0,0,4,3,7,0,false
40,7,13,8,1,1,1,2,4,2,8,9,false
16,3,3,1,1,1,2,2,4,3,13,2,false
14,4,1,0,1,2,3,3,4,2,6,0,false
3,1,0,0,0,1,0,0,4,2,3,0,false
34,3,5,1,1,2,0,3,4,3,8,0,false
3,1,0,0,0,1,0,1,4,1,1,0,false
17,3,2,7,0,0,1,3,4,2,5,2,false
3,1,0,0,0,1,0,0,4,2,3,0,false
1,1,0,0,0,0,4,0,4,2,2,0,false
3,1,0,0,0,1,1,0,4,3,7,1,false
29,1,0,0,0,0,1,1,40,2,5,5,false
6,2,1,0,0,0,0,0,4,1,3,1,false
1,1,0,0,0,0,4,0,4,2,4,0,false
3,1,1,0,0,0,1,0,4,2,3,0,false
4,1,1,0,0,0,1,1,4,3,7,0,false
