@relation bookkeeper_Train_R4-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false,true}

@data
3,1,0,0,0,0,3,0,412,3,18,0,false
32,6,3,2,1,1,1,0,412,3,50,1,false
3,1,0,0,0,0,0,1,4,1,3,0,false
5,3,0,0,0,3,2,2,196,1,2,1,true
3,2,0,0,0,1,3,0,4,2,14,0,false
5,2,0,0,0,0,2,0,412,2,16,0,false
18,3,4,1,1,0,1,0,4,3,13,4,false
3,1,0,0,0,0,0,0,196,1,5,0,false
26,5,2,2,0,1,3,0,412,3,16,2,false
3,1,0,0,0,1,0,0,205,2,6,0,false
3,1,0,0,0,1,0,0,366,1,2,0,false
4,1,0,1,0,0,1,0,229,1,1,0,true
3,1,0,0,0,1,0,1,196,1,2,1,true
1,1,0,0,0,0,3,0,216,2,8,0,false
5,2,0,0,0,0,1,0,196,3,33,0,true
7,2,2,0,0,1,0,0,216,2,15,0,false
10,3,0,0,0,1,3,2,42,1,1,0,false
3,2,0,0,0,1,1,0,412,2,16,0,false
8,2,0,0,0,2,2,0,412,2,16,0,false
9,2,1,0,0,2,0,2,216,2,15,0,false
20,4,4,0,0,1,1,2,154,1,3,0,false
3,1,0,0,0,0,0,0,328,2,11,0,false
8,2,2,0,0,1,1,0,196,1,2,0,true
3,1,0,0,0,1,1,0,196,1,2,0,true
3,1,0,0,0,1,0,2,196,1,2,0,true
7,2,1,0,0,1,2,2,412,2,16,2,false
1,1,0,0,0,0,0,0,4,2,14,0,false
3,1,0,0,0,1,2,0,412,3,15,0,false
3,1,0,0,0,1,0,1,412,2,16,1,false
3,1,0,0,0,1,0,0,412,2,16,0,false
1,1,0,0,0,0,0,0,4,2,14,0,false
12,2,2,0,0,1,1,3,412,3,32,0,false
3,1,0,0,0,1,0,0,4,2,14,0,false
3,1,0,0,0,0,2,2,4,2,11,0,false
18,3,3,0,0,1,1,3,412,2,9,1,false
3,1,0,0,0,1,0,1,196,1,2,0,true
7,1,2,0,0,0,2,4,268,2,9,3,false
28,3,10,0,1,1,0,77,412,3,17,0,false
3,1,0,0,0,1,0,2,205,2,6,0,false
1,1,0,0,0,0,0,0,4,1,1,0,false
7,2,1,0,0,1,2,2,4,2,14,2,false
15,2,6,0,0,1,0,2,412,2,16,1,false
1,1,0,0,0,0,1,0,191,1,2,0,false
33,9,4,3,1,3,0,3,196,2,6,2,true
19,7,6,1,0,1,1,1,442,2,10,2,false
3,1,0,0,0,0,0,1,196,1,5,0,true
3,1,0,0,0,1,3,0,216,2,15,0,false
11,3,1,0,0,0,0,1,384,2,15,1,false
8,2,2,0,0,1,2,0,196,1,2,0,true
9,2,3,0,0,0,2,0,412,3,15,1,false
11,2,3,1,1,1,1,0,412,3,50,0,false
6,1,1,0,0,0,0,3,196,3,33,0,true
3,1,0,0,0,1,2,0,412,1,1,0,false
3,1,0,0,0,0,0,0,196,1,7,0,true
2,1,0,0,0,0,0,1,412,3,26,0,false
4,1,0,0,0,1,0,0,441,3,15,0,false
9,2,1,0,0,2,0,2,196,1,2,0,true
3,1,0,0,0,1,10,0,4,2,2,0,false
19,4,1,3,1,0,1,1,216,1,3,2,false
3,1,0,0,0,1,0,0,113,1,1,0,false
3,1,0,0,0,1,0,1,412,2,16,1,false
3,2,0,0,0,1,2,0,412,2,16,0,false
19,5,2,0,1,1,2,2,0,2,3,1,true
23,1,1,0,0,0,0,1,420,3,7,2,false
49,8,11,1,2,4,0,5,196,1,4,3,false
1,1,0,0,0,0,0,0,4,2,14,0,false
9,2,3,0,0,0,1,1,412,2,12,1,false
1,1,0,0,0,0,0,0,412,2,13,0,false
1,1,0,0,0,0,0,0,157,1,2,0,false
20,1,2,0,0,1,1,1,191,1,6,2,false
7,2,1,0,0,1,0,1,196,1,2,0,true
3,1,0,0,0,1,0,0,4,2,14,0,false
5,1,1,1,0,1,11,0,412,1,3,0,false
6,2,0,0,0,1,0,2,144,1,1,0,false
4,2,0,0,0,2,2,0,196,1,2,0,true
3,1,0,0,0,1,1,1,196,1,2,0,true
1,1,0,0,0,0,2,0,196,1,7,0,true
