@relation b_matrix-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {true,false}

@data
32,6,3,2,1,1,1,1,412,3,50,0,true
5,3,0,0,0,3,2,2,196,1,2,0,true
18,3,4,1,1,0,1,0,4,3,13,0,false
26,5,2,2,0,1,3,0,412,3,16,0,true
3,1,0,0,0,1,0,1,196,1,2,0,true
47,1,1,0,0,0,3,1,74,1,6,0,false
7,2,1,0,0,1,2,2,412,2,16,0,false
3,1,0,0,0,1,0,1,412,2,16,0,false
18,3,3,0,0,1,1,3,412,2,9,0,true
7,1,2,0,0,0,2,4,268,2,9,0,false
7,2,1,0,0,1,2,2,4,2,14,0,false
22,3,8,0,0,1,0,2,412,2,16,0,false
33,9,4,3,1,3,0,3,196,2,6,0,true
19,7,6,1,0,1,1,1,442,2,10,0,false
11,3,1,0,0,0,0,1,384,2,15,0,true
9,2,3,0,0,0,2,0,412,3,15,0,true
26,9,2,0,0,0,0,3,396,1,2,0,false
49,20,6,5,2,0,0,4,1,1,1,0,false
19,4,1,3,1,0,1,1,216,1,3,0,true
3,1,0,0,0,1,0,1,412,2,16,0,false
19,5,2,0,1,1,2,2,0,2,3,0,true
23,1,1,0,0,0,0,1,420,3,7,0,false
49,8,11,1,2,4,0,5,196,1,4,0,true
9,2,3,0,0,0,1,1,412,2,12,0,false
20,1,2,0,0,1,1,1,191,1,6,0,true
21,6,4,3,1,2,0,1,1,1,1,0,false
39,7,9,1,1,0,1,9,286,2,10,0,false
31,2,6,3,1,0,1,4,412,3,25,0,true
3,1,0,0,0,1,0,0,412,2,13,0,false
11,2,2,0,0,1,0,1,412,2,16,0,false
5,1,1,0,0,0,0,1,396,1,2,0,false
7,3,2,0,0,1,1,0,412,2,7,0,false
13,2,3,0,0,0,4,10,412,2,12,0,false
9,2,0,1,0,0,0,1,106,2,5,0,false
18,2,6,2,0,0,0,6,196,3,33,0,true
15,4,5,1,0,2,1,1,216,1,2,0,false
9,3,4,3,0,1,0,0,90,1,1,0,true
6,1,3,0,0,0,0,0,196,1,5,0,true
40,9,12,7,1,1,1,10,4,2,4,0,false
5,2,0,0,0,0,0,0,286,1,9,0,false
14,3,4,0,0,2,2,0,205,2,6,0,false
33,7,6,1,1,2,1,1,4,3,10,0,false
38,7,2,3,2,1,2,2,196,3,20,0,true
3,1,0,0,0,1,4,0,412,1,2,0,false
40,7,13,8,1,1,1,2,4,2,8,0,false
3,1,0,0,0,1,0,1,196,1,2,0,true
17,3,2,7,0,0,1,3,4,2,5,0,false
3,1,0,0,0,1,0,2,196,1,2,0,true
7,2,1,0,0,1,2,2,4,2,14,0,false
3,1,0,0,0,1,1,0,4,3,7,0,false
3,1,0,0,0,1,0,1,4,2,14,0,false
6,2,1,0,0,0,0,0,4,1,3,0,false
11,2,2,0,0,1,0,1,412,2,16,0,false
6,1,1,0,0,1,0,0,4,3,8,0,false
11,2,2,0,0,1,0,1,412,2,16,0,false
17,8,7,0,0,2,1,0,4,2,14,0,false
7,1,3,1,0,1,4,0,482,1,8,0,false
16,1,0,0,0,0,0,4,4,2,11,0,false
4,1,0,0,0,0,2,1,4,2,3,0,false
3,1,0,0,0,1,0,2,196,1,2,0,true
3,1,0,0,0,1,2,0,511,2,12,0,false
38,7,5,3,1,1,0,4,1,1,1,0,false
9,3,2,0,0,2,1,0,0,1,1,0,true
17,5,5,0,0,2,1,4,286,1,4,0,false
51,4,5,1,0,2,0,16,412,3,16,0,true
16,5,3,0,0,1,1,4,412,2,16,0,false
3,1,0,0,0,1,0,2,196,1,2,0,true
25,5,4,3,2,2,2,6,165,1,1,0,false
10,1,8,0,0,0,2,6,196,1,2,0,true
16,5,5,3,0,0,1,4,328,3,8,0,false
7,2,1,0,0,1,1,2,412,2,16,0,false
48,3,3,1,1,2,0,3,204,2,4,0,true
7,2,1,0,0,1,2,2,216,2,15,0,false
26,9,2,0,0,0,0,3,165,1,1,0,true
28,5,3,1,1,1,0,3,0,1,3,0,true
24,5,3,2,1,0,0,5,196,2,8,0,true
6,2,0,1,0,0,5,2,196,3,20,0,true
3,1,0,0,0,1,0,1,196,1,3,0,true
10,3,1,0,0,1,17,0,442,2,10,0,false
6,1,3,0,0,0,0,2,412,2,12,0,false
35,1,0,0,0,0,0,2,412,1,8,0,false
42,1,2,0,0,0,1,1,482,2,28,0,false
11,4,0,0,0,3,0,4,412,2,16,0,false
48,3,4,1,1,2,0,11,490,1,10,0,false
14,3,0,3,1,0,1,0,412,3,29,0,true
8,2,0,0,0,1,0,16,40,2,5,0,false
5,1,0,0,0,0,1,0,42,1,1,0,false
14,6,0,1,1,0,0,0,287,1,1,0,false
3,1,0,0,0,1,5,0,196,1,2,0,true
6,1,2,0,0,1,0,2,412,2,16,0,false
5,1,1,0,0,0,0,0,412,3,24,0,false
38,5,4,4,1,4,0,10,412,1,5,0,true
16,3,4,0,1,2,0,4,216,2,8,0,true
21,4,6,1,0,0,2,3,4,2,4,0,false
18,4,3,0,1,4,4,2,77,1,2,0,false
27,5,4,0,0,2,4,0,412,2,16,0,false
29,1,0,0,0,0,1,1,484,3,22,0,false
4,1,1,0,0,1,0,1,412,2,16,0,false
9,2,0,1,0,0,2,1,0,1,1,0,true
3,1,0,0,0,0,0,0,165,1,1,0,false
21,5,2,0,1,0,0,2,1,1,3,0,false
16,5,3,0,0,1,1,4,4,2,14,0,false
16,9,0,0,0,0,0,1,412,2,16,0,false
9,3,4,2,0,1,0,1,90,1,1,0,true
11,3,0,0,0,3,0,1,0,1,1,0,true
5,2,0,0,0,0,0,2,0,2,3,0,true
3,1,0,0,0,1,0,1,412,2,16,0,false
7,4,0,0,0,3,2,3,196,1,2,0,true
22,2,4,1,0,0,2,1,196,1,7,0,true
33,9,3,0,1,0,1,3,286,1,6,0,false
5,1,2,0,0,1,0,1,196,1,2,0,true
6,1,2,0,0,1,0,2,205,2,6,0,false
27,5,5,1,1,3,3,2,482,1,27,0,false
81,9,10,3,0,3,2,10,482,1,17,0,false
17,5,5,0,0,2,1,1,0,1,1,0,true
7,2,1,0,0,1,1,2,4,2,14,0,false
7,2,1,0,0,1,1,2,4,2,14,0,false
7,2,1,0,0,1,5,2,4,2,14,0,false
56,16,10,5,2,4,1,11,490,1,6,0,false
3,1,0,0,0,1,0,1,384,2,15,0,true
22,6,10,0,0,1,13,1,412,2,16,0,false
17,6,3,1,1,2,1,1,216,1,1,0,true
20,6,2,2,0,2,1,2,4,2,3,0,false
6,4,0,0,0,4,2,2,196,1,2,0,true
6,2,0,0,0,1,2,2,0,1,1,0,true
31,17,1,10,0,1,0,2,412,2,5,0,false
8,2,2,0,0,1,0,3,4,3,7,0,false
30,4,3,3,0,3,1,2,482,1,14,0,false
10,2,2,0,0,1,0,1,196,3,18,0,true
9,2,3,0,0,0,2,0,196,1,3,0,true
3,1,0,0,0,1,0,3,412,2,16,0,false
7,2,1,0,0,2,2,0,18,2,3,0,false
52,12,6,2,0,2,2,10,4,2,6,0,false
3,1,0,0,0,1,0,1,196,1,2,0,true
21,5,1,0,1,0,0,1,1,1,1,0,false
26,5,5,1,1,3,1,0,216,2,8,0,true
3,1,0,0,0,1,0,1,4,2,14,0,false
13,1,0,0,0,0,1,0,484,3,22,0,true
3,1,0,0,0,1,0,2,196,1,2,0,true
41,8,9,4,1,4,4,6,216,2,8,0,true
5,1,2,0,0,1,0,2,196,1,2,0,true
15,4,5,1,0,2,0,1,0,1,1,0,true
23,5,5,1,0,1,3,2,412,2,11,0,false
26,9,3,4,0,1,0,11,196,1,4,0,true
136,29,33,10,2,1,0,9,412,3,29,0,true
19,2,0,1,0,1,0,9,420,3,9,0,true
6,1,2,0,0,1,0,2,412,2,16,0,false
3,1,0,0,0,1,0,1,4,2,14,0,false
16,5,3,0,0,1,1,4,4,2,14,0,false
14,3,0,0,1,0,1,1,412,2,13,0,false
8,2,0,0,0,2,0,0,412,2,16,0,false
30,10,2,4,0,2,0,7,4,1,3,0,false
40,1,0,0,0,0,3,2,412,3,16,0,false
5,1,3,0,0,0,2,1,196,1,2,0,true
3,1,0,0,0,0,2,1,74,2,5,0,false
36,7,4,0,0,2,4,3,0,1,1,0,true
27,6,3,1,1,3,0,2,0,1,1,0,true
27,1,1,0,0,0,0,1,191,1,6,0,true
30,1,0,0,0,0,0,1,447,2,8,0,false
24,2,3,1,0,1,0,6,152,1,3,0,false
27,5,4,0,0,2,4,0,4,2,14,0,false
3,1,0,0,0,1,0,1,412,2,16,0,false
10,2,2,0,0,1,0,3,412,3,25,0,true
89,1,0,0,0,0,2,4,484,3,22,0,true
18,4,3,0,1,4,2,0,113,1,3,0,false
8,2,0,0,0,1,0,3,196,1,2,0,false
9,3,0,0,0,3,0,3,412,2,16,0,false
35,1,0,0,0,0,0,2,196,1,6,0,false
24,5,2,0,0,2,4,1,196,1,2,0,true
18,6,2,0,0,0,0,0,196,1,4,0,false
4,1,1,0,0,1,0,1,205,2,6,0,false
33,5,9,3,1,3,2,11,196,1,5,0,true
31,17,1,10,0,1,0,2,196,1,2,0,true
8,1,1,0,0,0,0,0,412,3,32,0,true
11,3,6,0,0,2,1,0,4,2,14,0,false
3,1,0,0,0,1,0,1,384,2,15,0,true
12,2,2,2,0,1,0,1,196,3,20,0,true
3,1,0,0,0,1,0,3,412,2,16,0,false
29,5,8,1,1,3,0,2,504,1,5,0,false
11,4,0,0,0,2,3,7,412,2,16,0,false
7,3,0,0,0,0,0,2,205,2,6,0,false
26,5,5,1,1,3,1,0,0,1,1,0,true
16,5,4,0,0,4,4,4,412,2,16,0,false
17,4,0,0,1,0,0,2,4,1,2,0,false
8,2,2,0,0,1,0,3,196,1,11,0,true
11,2,1,0,1,0,3,0,482,1,17,0,false
6,1,2,0,0,1,0,2,4,2,14,0,false
5,1,1,0,0,0,0,0,412,1,2,0,false
3,1,0,2,0,1,4,0,412,3,15,0,true
7,2,1,0,0,1,1,2,205,2,6,0,false
16,5,3,0,0,1,1,4,4,2,14,0,false
11,2,1,0,1,0,1,4,0,1,1,0,false
33,9,6,2,2,1,0,10,396,1,2,0,false
5,2,0,0,0,0,0,0,216,2,8,0,true
16,11,3,3,0,0,1,1,398,2,4,0,true
11,2,3,0,0,2,2,0,205,2,6,0,false
12,1,0,0,0,0,4,0,196,3,18,0,true
3,1,0,0,0,1,0,1,196,1,2,0,true
20,5,2,0,1,0,0,0,482,1,8,0,false
43,1,0,0,0,0,2,1,482,2,7,0,false
11,2,3,0,0,2,2,0,216,2,15,0,false
10,3,0,0,1,0,1,0,196,1,5,0,true
60,16,6,3,3,2,0,5,1,1,1,0,false
10,3,3,0,0,1,1,5,196,1,2,0,true
4,1,1,1,0,0,1,4,219,3,4,0,false
