@relation c_matrix-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {true,false}

@data
3,1,0,0,0,0,3,0,412,3,18,0,true
3,1,0,0,0,0,0,1,4,1,3,0,false
3,2,0,0,0,1,3,0,4,2,14,0,false
5,2,0,0,0,0,2,0,412,2,16,0,false
3,1,0,0,0,0,0,0,196,1,5,0,false
3,1,0,0,0,1,0,0,205,2,6,0,false
3,1,0,0,0,1,0,0,366,1,2,0,false
4,1,0,1,0,0,1,0,229,1,1,0,true
1,1,0,0,0,0,3,0,216,2,8,0,true
5,2,0,0,0,0,1,0,196,3,33,0,true
7,2,2,0,0,1,0,0,216,2,15,0,false
10,3,0,0,0,1,3,2,42,1,1,0,false
3,2,0,0,0,1,1,0,412,2,16,0,false
8,2,0,0,0,2,2,0,412,2,16,0,false
9,2,1,0,0,2,0,2,216,2,15,0,false
20,4,4,0,0,1,1,2,154,1,3,0,false
3,1,0,0,0,0,0,0,328,2,11,0,true
8,2,2,0,0,1,1,0,196,1,2,0,true
3,1,0,0,0,1,1,0,196,1,2,0,true
13,2,2,1,1,2,1,0,447,2,8,0,false
3,1,0,0,0,1,0,2,196,1,2,0,true
3,1,0,0,0,1,3,1,490,1,10,0,false
1,1,0,0,0,0,0,0,4,2,14,0,false
3,1,0,0,0,1,2,0,412,3,15,0,true
3,1,0,0,0,1,0,0,412,2,16,0,false
1,1,0,0,0,0,0,0,4,2,14,0,false
12,2,2,0,0,1,1,3,412,3,32,0,true
3,1,0,0,0,1,0,0,482,2,31,0,false
3,1,0,0,0,1,0,0,4,2,14,0,false
3,1,0,0,0,0,2,2,4,2,11,0,false
3,1,0,0,0,1,0,1,196,1,2,0,true
28,3,10,0,1,1,0,86,412,3,17,0,false
3,1,0,0,0,1,0,2,205,2,6,0,false
3,2,0,0,0,1,1,0,1,2,2,0,false
1,1,0,0,0,0,0,0,4,1,1,0,false
3,1,0,0,0,0,1,1,482,2,28,0,false
1,1,0,0,0,0,1,0,191,1,2,0,false
3,1,0,0,0,0,0,1,196,1,5,0,true
3,1,0,0,0,1,3,0,216,2,15,0,false
8,2,2,0,0,1,2,0,196,1,2,0,true
11,2,3,1,1,1,1,0,412,3,50,0,true
6,1,1,0,0,0,0,3,196,3,33,0,true
3,1,0,0,0,1,2,0,412,1,1,0,false
3,1,0,0,0,0,0,0,196,1,7,0,true
