@relation openjpa_Train_R2-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
1,1,0,0,0,0,0,0,45,2,4,0,false
3,1,0,0,0,1,0,0,45,3,11,0,false
3,1,0,0,0,1,0,0,37,3,6,0,false
4,1,0,0,0,1,0,1,0,1,4,0,false
3,1,1,0,0,0,0,0,37,2,5,0,false
3,1,0,0,0,0,1,1,45,3,5,0,false
1,1,0,0,0,0,4,0,45,1,3,0,false
3,1,1,0,0,0,1,0,0,1,8,0,false
3,1,1,0,0,0,0,0,37,2,2,0,false
4,1,1,0,0,0,0,2,37,2,5,0,false
10,4,0,0,1,0,2,3,45,3,11,0,false
6,3,1,0,0,3,0,2,0,2,6,0,false
7,5,1,0,0,4,0,0,45,3,6,0,false
28,11,2,0,1,2,1,16,45,3,11,7,false
1,1,0,0,0,0,0,0,45,2,4,0,false
3,1,0,0,0,0,0,0,0,1,6,0,false
3,1,0,0,0,0,0,0,0,1,6,0,false
16,5,1,0,1,1,1,6,45,3,13,0,false
1,1,0,0,0,0,0,0,45,1,4,0,false
8,2,0,0,1,1,0,0,0,1,5,0,false
3,1,0,0,0,1,0,1,45,2,8,0,false
3,2,0,0,0,1,3,1,45,1,4,0,false
6,2,1,0,0,0,1,1,37,2,2,0,false
3,1,0,0,0,1,2,1,0,2,13,0,false
3,2,0,0,0,1,4,0,45,2,6,0,false
1,1,0,0,0,0,1,0,45,3,8,0,false
1,1,0,0,0,0,0,0,45,3,8,0,false
3,1,0,0,0,1,0,0,0,1,4,0,false
13,4,5,0,0,1,2,2,37,1,2,3,false
3,1,0,0,0,0,0,1,37,2,4,0,false
3,1,0,0,0,1,3,0,45,3,13,0,false
2,1,0,0,0,0,0,0,45,2,7,0,false
11,5,2,0,1,0,1,9,45,3,11,0,false
3,1,0,0,0,0,0,1,37,2,4,0,false
3,1,0,0,0,1,0,0,45,1,4,0,false
3,1,0,0,0,0,0,0,0,1,4,0,false
3,1,0,0,0,0,0,0,0,1,6,0,false
3,2,0,0,0,1,0,0,37,1,2,0,false
3,1,0,0,0,1,0,0,45,3,6,0,false
6,4,3,0,0,1,1,2,37,2,2,0,false
3,1,0,0,0,1,0,1,37,3,9,0,false
3,1,0,0,0,1,2,0,45,2,8,1,false
3,2,1,0,0,0,0,1,37,2,3,0,false
1,1,0,0,0,0,1,0,45,3,8,0,false
3,1,0,0,0,0,0,1,37,2,2,0,false
2,1,0,0,0,0,2,0,45,2,6,0,false
3,1,0,0,0,0,0,0,0,1,4,0,false
3,1,0,0,0,1,0,1,37,2,4,0,false
