@relation c_matrix-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false,true}

@data
4,1,0,0,0,0,0,2,629,1,25,0,false
3,1,0,0,0,0,0,1,185,1,4,0,false
15,6,2,0,0,0,1,13,529,3,51,0,true
3,1,0,0,0,1,0,0,1007,3,9,0,false
3,1,0,0,0,0,0,1,974,1,47,0,true
3,1,1,0,0,0,0,0,957,1,11,0,false
3,1,1,0,0,0,1,0,974,3,28,0,false
3,1,1,0,0,0,1,0,0,1,8,0,false
9,7,1,0,0,1,1,7,57,1,1,0,false
3,1,0,0,0,1,10,0,883,3,15,0,false
3,1,0,0,0,1,0,0,168,3,7,0,false
1,1,0,0,0,0,0,0,185,1,4,0,false
3,1,0,0,0,0,0,1,457,1,7,0,false
12,2,1,0,1,0,0,4,457,3,28,0,false
3,1,0,0,0,1,0,0,334,4,17,0,false
8,2,0,0,1,2,1,0,317,1,3,0,false
3,1,0,0,0,0,0,1,168,1,6,0,false
19,7,8,0,0,2,1,7,168,2,9,0,true
1,1,0,0,0,0,9,0,787,1,10,0,true
7,3,2,0,0,2,0,1,883,1,14,0,false
3,1,0,0,0,0,0,0,1081,1,24,0,false
14,6,5,0,0,3,2,1,723,3,33,0,true
3,1,0,0,0,0,0,1,612,3,15,0,true
3,1,0,0,0,1,0,0,185,1,4,0,false
3,1,0,0,0,0,0,1,1022,1,19,0,false
3,2,0,0,0,1,2,1,957,2,40,0,true
3,2,0,0,0,1,4,0,45,2,6,0,false
3,1,0,0,0,1,1,0,440,2,8,0,false
1,1,0,0,0,0,1,0,45,3,8,0,false
3,1,0,0,0,1,0,0,1003,1,13,0,false
6,2,0,0,0,2,0,0,334,3,29,0,true
5,1,1,0,0,1,0,1,1007,1,49,0,false
1,1,0,0,0,0,0,0,785,1,23,0,false
3,1,0,0,0,0,0,1,37,2,4,0,false
5,1,1,0,0,1,0,1,957,2,40,0,true
3,1,1,0,0,0,0,0,168,1,5,0,false
3,1,0,0,0,0,0,0,0,1,4,0,false
1,1,0,0,0,0,0,0,629,1,11,0,false
1,1,0,0,0,0,2,0,185,2,6,0,true
17,7,6,0,0,1,0,2,957,1,8,0,true
3,1,0,0,0,1,0,0,1081,1,12,0,false
3,1,0,0,0,1,0,0,45,3,6,0,false
9,1,0,0,1,1,0,4,1098,4,91,0,true
3,1,0,0,0,0,0,0,957,1,5,0,false
4,2,1,0,0,0,1,1,1081,2,15,0,false
3,1,0,0,0,1,1,1,317,2,4,0,false
3,1,0,0,0,1,1,1,94,3,13,0,false
1,1,0,0,0,0,0,0,185,1,4,0,false
4,1,1,0,0,1,0,1,101,2,6,0,false
7,2,1,0,0,1,3,2,1022,1,25,0,false
3,1,0,0,0,1,0,0,1007,2,7,0,false
19,7,8,0,0,2,1,2,706,1,21,0,false
3,1,0,0,0,1,1,0,1005,2,12,0,false
14,4,2,0,0,1,1,10,957,2,88,0,false
3,1,0,0,0,1,0,0,317,2,9,0,false
3,2,0,0,0,1,0,0,1098,2,37,0,false
4,1,1,0,0,0,1,0,957,1,5,0,false
1,1,0,0,0,0,4,0,1,1,1,0,false
1,1,0,0,0,0,1,0,45,3,8,0,false
26,14,15,1,0,3,3,11,37,2,6,0,false
3,1,0,0,0,1,0,0,1007,2,18,0,false
4,2,0,0,0,2,1,0,629,4,63,0,true
3,1,0,0,0,0,0,0,457,1,13,0,false
10,3,0,0,0,3,0,0,612,1,14,0,false
1,1,0,0,0,0,0,0,1022,1,30,0,false
3,1,0,0,0,1,0,0,957,1,5,0,false
1,1,0,0,0,0,3,0,723,1,9,0,true
3,1,0,0,0,1,1,1,529,4,39,0,false
5,1,2,0,0,1,1,3,1022,3,53,0,false
3,1,0,0,0,1,0,0,243,2,6,0,false
3,1,1,0,0,0,0,0,168,1,3,0,false
3,1,0,0,0,1,0,0,571,1,8,0,false
11,5,2,0,0,2,8,2,1098,4,47,0,false
3,1,0,0,0,1,0,0,1081,1,24,0,false
5,2,0,0,0,2,11,7,334,5,47,0,true
1,1,0,0,0,0,0,0,457,1,13,0,false
4,2,0,0,0,1,0,0,1007,2,18,0,false
6,2,4,0,0,1,0,1,704,2,7,0,false
3,1,0,0,0,1,0,0,2,1,1,0,false
3,1,0,0,0,1,1,0,457,4,18,0,true
3,4,0,1,0,1,3,0,317,3,8,0,false
3,1,0,0,0,1,0,0,489,1,3,0,false
2,1,0,0,0,0,1,0,366,2,9,0,false
3,2,0,0,0,1,1,0,1081,2,20,0,false
5,3,0,0,0,3,1,2,168,1,6,0,false
3,1,0,0,0,1,1,0,37,3,6,0,false
3,1,0,0,0,1,8,1,723,4,38,0,true
3,1,0,0,0,1,2,0,768,1,3,0,false
3,2,0,0,0,0,2,1,0,1,5,0,false
5,1,2,0,0,1,0,0,723,3,23,0,false
3,1,0,0,0,1,1,0,168,2,9,0,false
12,5,0,0,1,2,0,4,529,1,30,0,false
1,1,0,0,0,0,0,0,529,1,14,0,false
4,1,0,0,0,0,0,1,883,3,15,0,false
3,1,0,0,0,1,0,1,512,1,30,0,true
3,1,0,0,0,0,0,0,974,1,7,0,false
3,1,0,0,0,1,6,0,45,3,8,0,false
3,1,0,0,0,1,0,1,1022,2,16,0,false
3,1,0,0,0,1,7,0,1098,4,76,0,true
3,1,0,0,0,1,0,0,1081,1,14,0,false
1,1,0,0,0,0,0,0,185,2,13,0,false
3,1,1,0,0,0,0,0,785,3,70,0,true
4,2,0,0,0,1,0,0,1081,1,24,0,false
3,1,1,0,0,0,0,0,440,1,6,0,false
3,1,0,0,0,1,0,0,629,4,63,0,true
5,5,0,1,0,3,2,0,768,1,20,0,true
3,1,0,0,0,1,0,1,957,1,10,0,false
6,3,2,0,0,2,1,3,1005,1,13,0,true
1,1,0,0,0,0,1,0,629,1,11,0,false
1,1,0,0,0,0,1,0,0,1,4,0,false
1,1,0,0,0,0,1,0,457,1,12,0,false
3,1,0,0,0,0,1,3,612,1,9,0,true
1,1,0,0,0,0,0,0,168,1,5,0,false
3,1,0,0,0,1,0,0,45,3,6,0,false
3,1,0,0,0,0,0,1,1098,2,45,0,true
3,1,0,0,0,1,0,0,168,1,4,0,false
1,1,0,0,0,0,0,0,457,1,13,0,false
3,1,1,0,0,0,0,0,1005,1,21,0,false
3,1,0,0,0,0,0,0,334,3,12,0,true
3,1,0,0,0,1,0,0,1098,3,26,0,false
3,1,0,0,0,0,0,1,1081,2,11,0,false
4,1,2,0,0,0,0,0,723,1,42,0,false
3,1,0,0,0,1,0,0,1098,1,21,0,false
3,1,1,0,0,0,2,0,185,2,5,0,false
3,2,0,0,0,0,0,0,438,1,39,0,false
3,1,1,0,0,0,3,0,168,2,6,0,false
1,1,0,0,0,0,6,0,168,1,4,0,false
4,4,0,0,0,2,1,0,440,4,28,0,true
3,1,0,0,0,0,0,0,457,1,18,0,false
3,1,0,0,0,1,2,1,974,1,20,0,false
4,3,0,0,0,2,0,2,1022,2,13,0,false
15,6,5,0,0,2,9,3,185,4,21,0,true
20,7,9,1,0,1,0,2,317,6,32,0,true
4,1,1,0,0,0,2,1,185,2,15,0,false
1,1,0,0,0,0,1,0,346,1,2,0,false
3,1,0,0,0,0,0,1,629,1,40,0,false
3,1,0,0,0,1,0,1,1022,2,16,0,false
3,1,0,0,0,1,31,0,768,1,8,0,true
3,1,0,0,0,1,0,0,957,2,33,0,true
4,1,0,0,0,1,0,2,974,3,32,0,true
4,2,2,0,0,0,0,0,706,2,13,0,false
4,1,2,0,0,0,0,0,37,1,2,0,false
3,1,0,0,0,1,8,1,804,1,15,0,false
3,1,1,0,0,0,0,0,168,3,4,0,false
3,1,0,0,0,1,0,0,974,5,65,0,true
3,1,0,0,0,1,0,1,1022,1,25,0,false
3,1,0,0,0,1,0,0,317,2,4,0,false
3,2,0,0,0,0,1,0,1022,2,47,0,false
1,1,0,0,0,0,0,0,957,1,10,0,false
3,1,0,0,0,0,0,1,334,2,6,0,false
1,1,0,0,0,0,0,0,1022,1,18,0,false
3,1,0,0,0,1,9,0,334,5,47,0,true
3,2,0,0,0,1,4,0,804,1,27,0,false
3,1,0,0,0,1,3,0,168,2,3,0,false
1,1,0,0,0,0,0,0,440,1,14,0,false
13,3,1,0,1,1,0,3,974,1,24,0,false
5,1,1,0,0,1,3,2,538,1,41,0,false
3,1,1,0,0,0,2,0,612,1,10,0,false
3,1,0,0,0,1,0,1,35,1,1,0,false
8,2,0,0,0,0,0,1,440,3,9,0,false
3,1,0,0,0,1,0,0,974,3,12,0,false
3,1,0,0,0,1,0,1,232,2,6,0,false
3,1,0,0,0,1,0,0,571,2,5,0,false
4,1,0,0,0,0,1,2,785,1,27,0,false
3,1,0,0,0,1,0,1,334,2,6,0,false
17,5,5,1,0,1,5,0,1005,4,49,0,false
3,1,0,0,0,1,0,0,1081,3,24,0,false
6,2,3,0,0,0,1,0,317,2,3,0,true
3,1,0,0,0,0,0,0,334,3,12,0,true
3,1,0,0,0,1,0,0,440,2,5,0,true
3,1,0,0,0,1,4,1,457,4,36,0,false
3,1,0,0,0,1,0,0,168,1,4,0,false
3,1,0,0,0,1,0,0,957,2,40,0,true
8,5,2,0,0,0,1,1,785,1,13,0,false
3,1,0,0,0,1,0,1,185,2,9,0,false
11,1,0,0,1,1,0,5,785,1,27,0,false
3,1,0,0,0,1,1,0,54,1,2,0,false
3,1,0,0,0,1,0,2,768,2,7,0,false
3,1,0,0,0,1,0,1,1098,2,31,0,true
3,1,0,0,0,1,0,0,0,2,15,0,false
1,1,0,0,0,0,2,0,45,1,4,0,false
3,2,0,0,0,1,0,0,168,1,3,0,false
3,1,1,0,0,0,0,0,185,1,7,0,false
3,1,0,0,0,0,0,0,45,3,7,0,false
20,8,14,11,0,3,1,1,0,1,6,0,false
3,1,0,0,0,1,1,0,957,1,12,0,false
3,1,0,0,0,1,5,0,168,1,3,0,false
3,1,0,0,0,1,1,0,334,2,7,0,false
