uoi dClassifier,feature selection,sampling,cost sensitive,precision,recall,auc,kappa
mlp,false,false,false,0.7004830917874396,0.8935574229691877,0.7267843846399319,0.42904533004052303
mlp,false,false,false,0.8564929693961952,0.7681750741839762,0.8203062723543135,0.5010100234417192
mlp,false,false,true,0.5761116520610191,0.9943977591036415,0.5379865026179248,0.08373258719105058
mlp,false,false,true,0.6546867411364741,1.0,0.5,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
rf,false,false,true,0.0,0.0,0.0,0.0
sgd,false,false,false,0.6963490650044524,0.8761904761904762,0.6982921438617641,0.41010291499811474
sgd,false,false,false,0.7913971539456662,0.9076409495548962,0.7270272258323004,0.48603474560654036
sgd,false,false,true,0.6963490650044524,0.8761904761904762,0.6982921438617641,0.41010291499811474
sgd,false,false,true,0.7913971539456662,0.9076409495548962,0.7270272258323004,0.48603474560654036
mlp,false,true,false,0.6964440589765828,0.8997198879551821,0.7325958231393823,0.42322232786766506
mlp,false,true,false,0.910004786979416,0.7051186943620178,0.8842659542500845,0.5204220197702998
sgd,false,true,false,0.6963490650044524,0.8761904761904762,0.6982921438617641,0.41010291499811474
sgd,false,true,false,0.8617821782178218,0.8071216617210683,0.7808463442219968,0.5461742756564829
rf,false,true,false,0.0,0.0,0.0,0.0
rf,false,true,false,0.0,0.0,0.0,0.0
mlp,false,false,false,0.6892826274848747,0.8935574229691877,0.789214701351708,0.403182466706507
mlp,false,false,false,0.8628636191915376,0.8471810089020771,0.8865918984002972,0.587126528975336
sgd,false,false,false,0.6963490650044524,0.8761904761904762,0.6982921438617641,0.41010291499811474
sgd,false,false,false,0.8597249508840864,0.8115727002967359,0.7802589239880304,0.546798785414078
rf,false,false,false,0.0,0.0,0.0,0.0
rf,false,false,false,0.0,0.0,0.0,0.0
mlp,true,false,false,0.6966192170818505,0.8773109243697479,0.7519247361391814,0.4113223853212131
mlp,true,false,true,0.5565949485500468,1.0,0.5,0.0
mlp,true,false,false,0.806312292358804,0.9002225519287834,0.8430381572742032,0.5172218684347114
mlp,true,false,true,0.6546867411364741,1.0,0.5,0.0
sgd,true,false,false,0.6963490650044524,0.8761904761904762,0.6982921438617641,0.41010291499811474
sgd,true,false,true,0.6963490650044524,0.8761904761904762,0.6982921438617641,0.41010291499811474
sgd,true,false,false,0.7839036755386565,0.9176557863501483,0.7190247989416002,0.47430163369194506
sgd,true,false,true,0.7839036755386565,0.9176557863501483,0.7190247989416002,0.47430163369194506
rf,true,false,false,0.0,0.0,0.0,0.0
rf,true,false,true,0.0,0.0,0.0,0.0
rf,true,false,false,0.0,0.0,0.0,0.0
rf,true,false,true,0.0,0.0,0.0,0.0
mlp,true,true,false,0.6963490650044524,0.8761904761904762,0.7576506833394399,0.41010291499811474
mlp,true,true,false,0.8225231646471846,0.8560830860534124,0.8534296525143256,0.5152902428020518
sgd,true,true,false,0.6963490650044524,0.8761904761904762,0.6982921438617641,0.41010291499811474
sgd,true,true,false,0.7911227154046997,0.8991097922848664,0.7245197343984108,0.4782846423300557
rf,true,true,false,0.0,0.0,0.0,0.0
rf,true,true,false,0.0,0.0,0.0,0.0
