Classifier,feature selection,sampling,cost sensitive,precision,recall,auc,kappa
mlp,false,false,false,0.8873738458234915,0.7044834640300034,0.7813490069645075,0.31809028696272923
mlp,false,false,false,0.83962414397197,0.9994944388270981,0.8247724379632934,0.2984809932929111
mlp,false,false,false,0.8673821917177208,0.9959274342835986,0.7548444941827169,0.2872953046417134
mlp,false,false,true,0.786726272352132,0.9750255710876236,0.5341502124443966,0.09631357836000691
mlp,false,false,false,0.8632874536791953,0.9125204010258802,0.7282685977226937,0.1769425184992347
mlp,false,false,false,0.7806852932999722,0.9728898705123208,0.7453514175747731,0.14679404705600801
mlp,false,false,true,0.8388037541757252,0.9996840242669363,0.6022484991855215,0.29257364335603686
mlp,false,false,false,0.7783389637756296,0.9801196192401651,0.7631301753939779,0.18427152044486
mlp,false,false,false,0.7460712846624419,0.9996073619631902,0.687151193770845,0.12374501241480663
mlp,false,false,true,0.8658514159617506,0.9961389961389961,0.593129170564641,0.27373751296627424
mlp,false,false,true,0.8622233930453108,0.9157379342504081,0.5746251957524634,0.17185283436718324
mlp,false,false,true,0.8860053619302949,0.7042277531537675,0.6967045198517375,0.31489906463854594
mlp,false,false,true,0.7775248344370861,0.9762245030531376,0.545968023393857,0.1271122703281447
mlp,false,false,true,0.7457900131790892,0.9998527607361963,0.5435646558675724,0.12200136007251641
mlp,false,false,true,0.8536660268714011,0.9477497442891237,0.695219901384328,0.45081751997396674
mlp,false,false,true,0.7517018649273344,0.9999578805492376,0.5004884944147462,0.0014676056475613805
mlp,false,false,true,0.827321768563571,0.9885616784630941,0.5672601748318609,0.19380577719107175
mlp,false,false,true,0.867898860064737,0.9785264716771566,0.5984777792746039,0.27006498975324356
mlp,false,false,true,0.8524873266113309,0.9670753286147624,0.637212788555354,0.3478041192352185
mlp,false,false,false,0.7613118992749143,0.9970554676285472,0.7170524748928863,0.15927808999604542
mlp,false,false,true,0.8399378054198134,1.0,0.5,0.0
mlp,false,false,true,0.8635277923970689,0.9946374446257868,0.5856186734609149,0.25246563291488466
mlp,false,false,true,0.7384887197608045,1.0,0.5,0.0
mlp,false,false,false,0.7610335917312662,0.9920172454444407,0.7521727405794333,0.14646546118267892
mlp,false,false,true,0.7483460746839165,0.9993128834355828,0.5496695857766768,0.1382371378160267
mlp,false,false,true,0.7599473424387033,1.0,0.5,0.0
mlp,false,false,true,0.863457879609764,0.9946374446257868,0.5853744135683893,0.2518187525363867
mlp,false,false,false,0.7864653030013382,0.8741766080806241,0.7398236478296053,0.29092907012434094
mlp,false,false,true,0.7515193719929096,1.0,0.5,0.0
mlp,false,false,true,0.7484930902675684,0.9995092024539878,0.5500306264635869,0.13924196260796273
mlp,false,false,true,0.7545521873483668,0.9951834012597258,0.5368976156907391,0.10458308061455655
mlp,false,false,true,0.7795757783099555,0.9868346975011909,0.5517529670670199,0.14535201802531705
mlp,false,false,true,0.7313618954306582,0.9969948092159184,0.5289714452400134,0.08093389158039256
mlp,false,false,true,0.7727484368764135,0.9786454384634824,0.5540997892954355,0.14815895435740647
mlp,false,false,true,0.7384887197608045,1.0,0.5,0.0
mlp,false,false,true,0.7384887197608045,1.0,0.5,0.0
mlp,false,false,true,0.7556249520055289,0.9943076560342214,0.5395275218144456,0.11159475358768176
mlp,false,false,true,0.7194365582004805,1.0,0.5,0.0
mlp,false,false,true,0.7551156128504195,0.9943750210515679,0.5382669851686753,0.10817367283251789
mlp,false,false,true,0.7194365582004805,1.0,0.5,0.0
rf,false,false,false,0.8480323405659599,0.8761506989430617,0.7799684050021634,0.351726226950928
rf,false,false,false,0.9631523734592184,0.9283367037411526,0.9528152189782084,0.7393817659328064
