Classifier,feature selection,sampling,cost sensitive,feature selection id,precision,recall,auc,kappa
mlp,false,false,false,,0.0,0.0,0.0,0.0
mlp,false,false,true,,0.0,0.0,0.0,0.0
mlp,false,false,false,,0.5148514851485149,0.0403570042685293,0.6833936875385662,0.03183663769353825
mlp,false,false,true,,0.4350515463917526,0.08187815289095848,0.5175442677023099,0.04540900935573865
mlp,false,false,true,,0.375,0.18160651920838183,0.5242048989484532,0.05657892398139358
mlp,false,false,true,,0.493492972410203,0.3678696158323632,0.6008576221238319,0.21719444325527643
rf,false,false,false,,0.0,0.0,0.0,0.0
rf,false,false,true,,0.0,0.0,0.0,0.0
rf,false,false,false,,0.8333333333333334,0.04850601474582848,0.5413845763595997,0.06007777915918667
rf,false,false,true,,0.3877118644067797,0.1420256111757858,0.521661712691718,0.052667199871817894
rf,false,false,true,,0.3746397694524496,0.30267753201396974,0.5401707332200997,0.08490758986773897
rf,false,false,true,,0.2707756232686981,0.15172681412495148,0.4859556201772298,-0.03203155117425418
sgd,false,false,false,,0.0,0.0,0.0,0.0
sgd,false,false,true,,0.0,0.0,0.0,0.0
sgd,false,false,false,,NaN,0.0,0.5,0.0
sgd,false,false,true,,NaN,0.0,0.5,0.0
sgd,false,false,true,,0.3494085532302093,0.4470314318975553,0.540370224145499,0.07488295994088268
sgd,false,false,true,,0.3175094599243206,0.3581684128831975,0.5096852993377736,0.018700165756703083
mlp,false,true,false,,0.357311320754717,0.11757857974388825,0.5691690800396955,0.03018084740914944
sgd,false,true,false,,0.3494085532302093,0.4470314318975553,0.540370224145499,0.07488295994088268
rf,false,true,false,,0.3645200486026732,0.11641443538998836,0.5685678572640275,0.0334851683910307
mlp,false,false,false,,0.4143396226415094,0.21303841676367868,0.5333882074191407,0.09320202131297002
mlp,true,false,false,FS_R4_1,0.868421052631579,0.025611175785797437,0.49618624772313297,0.032821551477648266
sgd,false,false,false,,0.3175094599243206,0.3581684128831975,0.5096852993377736,0.018700165756703083
sgd,true,false,false,FS_R4_1,0.3235550392099913,0.4322856034148234,0.5172869273904718,0.03160074373502459
rf,false,false,false,,0.8296703296703297,0.05859526581296081,0.5264053955122129,0.07204825340967157
rf,true,false,false,FS_R4_1,0.7633410672853829,0.12766783081102057,0.584750113180701,0.1437687215733445
mlp,true,false,false,FS_R4_1,0.7692307692307693,0.011641443538998836,0.6203095942776685,0.013951412556848
mlp,true,false,true,FS_R4_1,0.8380952380952381,0.03414823438106325,0.5156226144582912,0.042717529915561304
mlp,true,false,true,FS_R4_1,0.5251076040172167,0.42607683352735737,0.6282535806981049,0.27080564274178565
mlp,true,false,true,FS_R4_1,0.5936305732484076,0.18083042297244858,0.5631781896283008,0.15690317592599914
sgd,true,false,false,FS_R4_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R4_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R4_1,0.3218722912453048,0.4322856034148234,0.5157500421445702,0.028739926832939914
sgd,true,false,true,FS_R4_1,0.3235550392099913,0.4322856034148234,0.5172869273904718,0.03160074373502459
rf,true,false,false,FS_R4_1,0.6942148760330579,0.03259604190919674,0.584750113180701,0.03584094791356001
rf,true,false,true,FS_R4_1,0.7633410672853829,0.12766783081102057,0.5551248990120676,0.1437687215733445
rf,true,false,true,FS_R4_1,0.3715415019762846,0.14590609235545207,0.5186497674892014,0.04494049925132304
rf,true,false,true,FS_R4_1,0.7274678111587983,0.13154831199068684,0.5549305767603707,0.14255505892018666
mlp,true,true,false,FS_R4_1,0.4578313253012048,0.22118742724097787,0.6183095163499728,0.12384232303806805
sgd,true,true,false,FS_R4_1,0.3218722912453048,0.4322856034148234,0.5157500421445702,0.028739926832939914
rf,true,true,false,FS_R4_1,0.35,0.12766783081102057,0.5406633475829692,0.028377171512278362
