@relation openjpab_matrix-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false,true}

@data
4,3,0,0,0,0,2,0,1081,2,24,0,false
18,15,9,0,0,0,0,1,706,1,7,0,false
9,6,3,0,0,4,0,2,94,4,25,0,false
28,11,2,0,1,2,1,16,45,3,11,0,false
26,4,6,1,0,1,3,8,457,5,47,0,true
55,25,27,0,0,1,0,6,512,1,17,0,true
6,2,4,0,0,0,3,1,629,2,51,0,true
3,1,0,0,0,1,2,0,45,2,8,0,false
3,1,0,0,0,0,0,2,974,2,45,0,true
39,9,8,0,4,0,0,2,1005,3,93,0,true
28,13,12,6,0,6,0,5,723,3,33,0,true
18,6,0,0,1,0,0,6,334,5,47,0,true
19,14,6,0,0,1,44,9,317,4,19,0,true
5,2,0,1,0,0,0,2,168,1,2,0,true
26,11,11,0,0,5,1,11,1098,4,66,0,false
3,4,0,0,0,1,1,1,1098,2,14,0,false
5,3,1,0,0,2,1,3,804,1,40,0,true
15,2,3,0,1,1,0,8,1098,1,7,0,false
34,14,8,0,0,0,0,4,168,1,3,0,false
5,2,1,0,0,0,0,6,629,2,51,0,true
3,1,0,0,0,1,0,1,45,2,6,0,false
13,7,2,1,0,0,0,6,334,2,6,0,false
3,1,0,0,0,0,0,3,529,4,29,0,false
14,1,2,0,0,0,1,1,334,2,12,0,false
18,7,1,0,0,1,1,16,457,1,9,0,false
34,9,14,0,0,1,4,18,45,3,11,0,false
21,10,7,0,0,1,2,2,957,2,11,0,false
10,2,0,0,1,1,0,2,185,2,11,0,true
3,1,0,0,0,0,0,1,957,3,14,0,false
16,16,1,0,0,1,2,33,512,1,7,0,true
3,3,0,0,0,1,4,2,1098,4,66,0,false
46,28,9,1,0,1,1,15,755,2,7,0,false
39,17,3,0,1,2,2,16,785,1,56,0,true
7,2,2,0,0,0,0,2,723,1,7,0,false
10,9,1,1,0,0,0,5,334,2,6,0,false
8,2,0,0,1,0,2,2,785,1,14,0,false
18,12,7,0,0,1,4,6,0,2,15,0,false
5,5,0,0,0,3,2,0,787,1,35,0,true
13,3,4,0,1,2,1,5,1098,2,31,0,true
